,United States,"New York, NY","Los Angeles-Long Beach-Anaheim, CA","Chicago, IL","Dallas-Fort Worth, TX","Philadelphia, PA","Houston, TX","Washington, DC","Miami-Fort Lauderdale, FL","Atlanta, GA"
1979-03-01,47420.3259628361,52563.2590315142,73394.7799181555,60177.9134812605,62602.2419385613,41029.156954157,56301.5193146921,65920.0467562829,48088.3977900552,48610.8087821355
1979-06-01,48967.0922869303,54137.5864719447,77180.8164487474,61589.446205482,65943.2360236596,41803.4867909868,59425.8067992026,66521.6442626145,49343.6464088398,50106.6804278476
1979-09-01,50031.1429461227,55438.8162951576,80406.5874837808,61680.0950960283,68777.7237168479,42722.3581973582,60455.3202952427,69334.1126047146,49865.1933701657,51602.5520735598
1979-12-01,50986.1932938856,56434.8193697156,83785.1581994211,62495.9351109454,71310.2556763976,43692.8515928516,61077.3180324336,70732.8268069355,52022.0994475138,53891.5368737099
1980-03-01,51904.9102045053,58715.9877017679,86875.1072961373,62029.7408167071,73647.9774852127,45633.8383838384,63000.5064382307,72913.6177673875,53781.2154696133,56230.718708951
1980-06-01,52704.2458216547,59792.3136049193,90746.0325381775,62884.430356144,74660.9902690326,46325.573038073,65610.0371747212,75049.2889148646,55540.3314917127,56300.9945580784
1980-09-01,54225.0596906467,62330.5149884704,93632.2487274179,60281.5122133134,76901.3070024804,47678.0691530692,65016.6370346425,77335.3594389246,58979.0055248619,57806.9056108088
1980-12-01,54365.2029481989,61993.1591083782,95347.0006986725,60941.954130151,78362.3831329899,48720.8333333333,66503.7120844782,77876.797194623,61604.4198895028,58409.2700319009
1981-03-01,54650.6799543237,64097.617217525,97197.5746082443,63531.9224314749,80583.2188513642,50042.3562548563,64187.306718388,80223.0274693162,61233.1491712707,59995.4963407769
1981-06-01,55756.2545416796,66314.5272867025,99200.948198423,66458.5866119709,81547.5290975005,50083.6538461538,68584.1872743925,81170.5435417884,63566.8508287293,60959.2794145243
1981-09-01,56700.9239074016,69125.8262874712,102375.786006587,66523.335819504,83524.8521274566,51229.662004662,69799.5851516621,79004.7925189947,60384.5303867403,61270.5010320886
1981-12-01,56638.6380151562,67969.1775557264,103207.69537878,65629.7967555473,84537.8649112765,49484.8387723388,71751.3711545714,81396.1426066628,63080.6629834254,63499.2493901295
1982-03-01,57578.1168898578,67133.8201383551,102664.407625512,63272.9256013425,86096.3461171532,51601.3403263403,75948.0685307904,85005.7276446523,64548.0662983425,64342.5595796585
1982-06-01,58066.0230457801,70186.0876249039,102919.073759856,63221.1262353161,85813.871398588,51353.5547785548,77063.3748181671,82358.6986167933,64972.3756906077,65356.5396884969
1982-09-01,57531.4024706737,70218.2167563413,101408.054696077,62249.8881223196,86943.7702728487,50475.980963481,75511.9551748289,82298.5388661601,64132.5966850829,65065.396884969
1982-12-01,58252.8807225164,72290.5457340507,103649.116678311,63363.5744918889,89320.4541118107,51394.8523698524,76991.8808253866,82779.8168712254,65759.1160220994,66049.2587727529
1983-03-01,59285.788435586,74346.8101460415,104582.892504242,64153.5148237927,90012.0301469185,53201.621989122,77027.6278217768,83020.4558737581,67173.4806629834,66501.032088572
1983-06-01,59919.028340081,76595.8493466564,104837.558638587,66199.5897818385,91385.4417095974,53707.5174825175,77463.7411777383,84524.449639587,66616.5745856354,67304.1846500282
1983-09-01,60412.1249870238,79969.4081475788,104939.425092325,67028.3796382622,92456.8975386377,55008.3916083916,76827.4446419913,84825.2483927528,66395.5801104972,68689.6228185401
1983-12-01,60739.1259213122,82732.5134511914,105652.49026849,68051.4171172851,93732.9040259492,56433.1585081585,76527.1698723129,85953.2437171245,66457.4585635359,68920.5291799587
1984-03-01,61668.2238139728,85575.9415833974,106705.110290448,67947.8183852322,95301.1257393627,56474.4560994561,73967.6849307688,86389.4019092149,66262.9834254144,70817.977106399
1984-06-01,62477.9404131631,90154.3428132206,106959.776424793,69708.9968301324,96606.3537492845,57971.4937839938,73939.0873336566,89246.9900642899,66289.5027624309,72062.863576656
1984-09-01,63054.0849164331,94250.8070714835,108317.995807965,70123.3917583442,98768.7464224385,59313.6655011655,74453.8440816766,90239.625949737,65882.8729281768,71741.6025520736
1984-12-01,63567.9435274577,97785.0115295926,108810.350334365,70835.6330412083,99099.9236786873,59860.8585858586,72416.2652874306,90480.2649522696,66475.138121547,73578.8140364046
1985-03-01,64460.7079829752,101993.927747886,110372.302625012,71444.2755920194,99382.3983972524,60872.6495726496,70049.814126394,92059.45840639,66342.5414364641,75034.5280540439
1985-06-01,65441.7107858403,106556.264411991,111764.477492764,72532.0622785754,101408.423964892,62462.6068376068,68541.2908787242,93443.1326709527,66086.1878453039,73819.7598048414
1985-09-01,66474.61849891,111986.087624904,114158.339155604,73425.6013425322,102577.2848693,63711.858974359,67325.8930014546,95247.9251899474,65679.5580110497,77152.8429348846
1985-12-01,67201.2872417731,117014.29669485,115550.514023356,74901.8832742868,102703.911467277,65126.3014763015,65795.9215559506,96300.7208260277,66342.5414364641,78417.8082191781
1986-03-01,68493.7195058653,123118.831667948,116705.000499052,75588.2248741376,103707.18374356,66705.9343434343,66603.803674371,97579.1155269823,67014.364640884,80054.231563145
1986-06-01,69921.1045364892,130637.048424289,118912.106996706,77284.6541115048,105820.873879031,68708.8675213675,67476.0303862938,99985.5055523086,69038.6740331492,81218.8027772565
1986-09-01,70979.9647046611,138074.942352037,121713.434474498,79499.0770091367,104564.348406793,71568.7257187257,66167.6903184096,102782.93395675,69462.9834254144,82011.9159316945
1986-12-01,72075.1583099761,145223.674096849,124939.205509532,81752.3494312885,103999.398969662,74562.8010878011,63093.4486288454,105384.843171635,69728.1767955801,83497.7481703884
1987-03-01,73497.3528495796,153095.311299001,128861.063978441,83293.3805705762,104233.171150544,77670.4448329448,62950.4606432843,108242.43132671,69445.3038674033,84903.2651529368
1987-06-01,74639.2608740787,161416.756341276,132698.033735902,86699.1888868171,101642.196145774,81025.8741258741,61870.9013522978,112228.014806156,71310.4972375691,86087.9151810846
1987-09-01,75490.5014014326,166975.096079939,138113.9335263,89094.9095655417,99333.6958595688,85651.2043512043,59897.6671515543,117702.552113774,71796.6850828729,87101.8952899231
1987-12-01,75968.026575314,170894.850115296,143427.96686296,90622.9908633228,96820.6449150925,88924.0384615385,58310.5005118259,121251.97740113,73007.7348066298,87583.7868267968
1988-03-01,77156.6490189972,173963.182167563,149675.776025551,92889.2131269812,96372.581568403,91639.3550893551,58546.4306880017,126365.556204948,73741.4364640884,88828.6732970539
1988-06-01,78693.0343610506,177866.871637202,156874.338756363,95802.9274659705,95739.4485785156,95345.8139083139,60247.9877161791,131464.095071109,75244.1988950276,90204.0720585476
1988-09-01,79502.7509602408,176790.545734051,166551.651861463,98250.4475107216,93148.4735737455,98123.0769230769,60812.7902591455,136472.394311319,76083.9779005525,90334.5843497842
1988-12-01,80239.8006851448,176308.60876249,177790.917257211,99221.6856237181,91638.6949055524,99496.2218337218,61198.8578201605,140217.338788233,76959.1160220994,90063.5203602927
1989-03-01,81158.5175957646,175971.252882398,186823.076155305,101293.660264777,91531.5493226484,100580.283605284,61799.4073595173,144398.441457237,77586.7403314917,90675.9241884031
1989-06-01,82290.0446382228,174846.733282091,196822.966363909,103365.634905836,91667.9164281626,101519.803807304,63229.2872151285,148203.545684785,78364.6408839779,90826.5152936761
1989-09-01,84034.0496210942,174573.635664873,206143.746880926,105890.853999627,93060.8090059149,103925.388500388,64566.224880125,151166.413403468,79381.2154696132,92171.7958341152
1989-12-01,84729.5754178345,174332.667179093,211237.069567821,107159.938467276,92417.9355084907,104689.393939394,64952.29244114,152595.207481005,79876.2430939226,92844.4361043348
1990-03-01,85207.100591716,172115.757109915,213053.687992814,108351.323885885,92184.1633276092,105184.965034965,65366.9575992673,153392.324176895,80662.9834254144,92362.5445674611
1990-06-01,85554.8634900862,167890.776325903,212799.021858469,109905.304866679,92525.0810913948,104534.527972028,66110.4951241851,153963.84180791,80097.2375690608,91408.8009007318
1990-09-01,86068.7221011108,165930.899308224,212561.333466414,111329.787432407,92690.6697195192,104359.013209013,66989.871235386,153287.044613287,80459.6685082873,91870.6136235692
1990-12-01,85736.5306758019,162493.082244427,209692.095019463,111433.38616446,91862.7265788972,103543.385780886,66861.182048381,151241.613091759,79982.320441989,91238.1309814224
1991-03-01,86447.6279456037,161481.014604151,209012.985327877,112806.069364162,93128.992558672,104142.200854701,67504.6279834061,152128.969413598,81122.6519337017,92191.8746481516
1991-06-01,87034.1534309146,160244.043043812,206737.967861064,113906.805892224,93557.5748902881,104513.879176379,68355.4064974947,152775.686732905,81060.773480663,92422.7810095703
1991-09-01,87184.6776705076,159810.299769408,206585.168180457,114968.692895767,92914.701392864,104348.688811189,68777.2210549,151873.290473407,80804.4198895028,92001.1259148058
1991-12-01,88409.633551334,160404.688700999,208554.586286056,116652.172291628,94463.442091204,105804.428904429,69420.6669899251,154264.640561075,82201.1049723757,93326.3276412085
1992-03-01,89094.7783660334,161946.887009992,207315.211098912,117649.310087638,95418.0118298035,105959.294871795,70671.8118635849,154550.399376583,83288.3977900552,93958.8102833552
1992-06-01,89074.0164019516,161416.756341276,204904.371693782,118400.400895021,94619.2902117916,105494.696969697,70321.4912989602,153587.843366452,82616.5745856353,93727.9039219366
1992-09-01,90096.5431329804,162380.630284397,203444.285856872,119695.385045683,96148.5498950582,105897.348484848,71586.9349711761,154505.279563608,83836.4640883978,95635.391255395
1992-12-01,90548.1158517596,163424.827056111,200575.047409921,120679.573000186,96421.2841060866,106475.514763015,71486.8433812833,154866.238067407,84022.0994475138,95775.9429536499
1993-03-01,90584.4492889027,163167.794004612,196500.389260405,121637.861271676,96245.9549704255,106031.565656566,71729.9229567372,154490.23962595,84163.5359116022,95996.8099080503
1993-06-01,91446.0707982975,164019.215987702,193410.440163689,122622.049226179,96976.4930356802,106568.434343434,72080.243521362,154670.718877849,85480.6629834254,96960.5929817977
1993-09-01,92183.1205232015,164597.540353574,190388.402036131,123878.183852321,97658.3285632513,106558.10994561,72652.1954636065,154730.878628482,86594.4751381215,97613.1544379809
1993-12-01,92946.1227032077,165432.897770945,188011.51811558,124823.522282305,98310.9425682122,107043.356643357,73074.0100210118,155392.635885447,87504.9723756906,98356.0705573278
1994-03-01,93537.8386795391,165722.059953882,185549.745483581,126455.202312139,98729.7843922915,106940.112665113,73081.1594202898,155603.195012663,88123.7569060773,98586.9769187465
1994-06-01,94108.7926917887,164709.992313605,178622.826629404,128035.082975946,98077.1703873307,105845.726495726,72730.8388556651,153873.60218196,88070.7182320442,98848.0015012197
1994-09-01,94492.889027302,163858.570330515,175244.255913764,128799.123624837,97784.9551612288,104472.581585082,72659.3448628845,152655.367231638,88229.8342541436,99380.0900731845
1994-12-01,94415.0316619952,161207.916986933,171526.130352331,128656.675368264,97385.5943522229,103543.385780886,71629.8313668444,150925.774400935,88061.8784530387,99631.0752486395
1995-03-01,94913.3187999585,160645.657186779,169777.422896497,129498.415066194,97405.0753672963,103243.978243978,71493.9927805614,150399.376582895,88397.7900552486,100394.070182023
1995-06-01,96465.2756150732,162975.019215988,171543.10809462,131583.33954876,98944.0755580996,104441.608391608,72695.0918592748,152023.68984999,89635.3591160221,102201.163445299
1995-09-01,97944.5655559016,165416.833205227,173631.370396247,133150.270371061,100502.556763976,106310.324397824,73009.6654275093,153858.562244302,91456.3535911602,103536.40457872
1995-12-01,98717.9487179487,165722.059953882,174191.635891806,134393.455155696,101038.284678496,106351.621989122,73395.7329885243,154640.639002533,92172.3756906077,105132.670294614
1996-03-01,99828.7137963251,168276.325903151,173682.303623116,135999.235502517,102226.626597977,107394.386169386,74496.740477345,156355.191895578,93356.9060773481,106327.35972978
1996-06-01,100000.0,167200.0,170100.0,135973.335819504,102100.0,106300.0,74139.2705134422,154400.0,92800.0,107000.0
1996-09-01,99900.0,166100.0,169900.0,136102.83423457,102600.0,105900.0,74303.7066968374,154100.0,92600.0,106900.0
1996-12-01,100800.0,163300.0,170800.0,137514.366958792,96000.0,106200.0,74768.4176499111,154700.0,93300.0,107900.0
1997-03-01,102500.0,166800.0,173500.0,138900.0,96000.0,107100.0,74625.42966435,155800.0,94700.0,109100.0
1997-06-01,103500.0,168000.0,174200.0,139100.0,96300.0,107000.0,75926.6203329562,153300.0,95600.0,110600.0
1997-09-01,104700.0,169500.0,176100.0,139500.0,97500.0,107100.0,76677.3072571521,152400.0,96700.0,112500.0
1997-12-01,106100.0,171500.0,179300.0,141000.0,99300.0,107800.0,77506.6375734066,153500.0,97200.0,114100.0
1998-03-01,107700.0,175200.0,184100.0,142300.0,100900.0,109000.0,79243.9415979742,155200.0,98500.0,115900.0
1998-06-01,108100.0,176100.0,188500.0,142900.0,101200.0,109600.0,80030.3755185604,155800.0,99600.0,117600.0
1998-09-01,110100.0,177600.0,193300.0,143800.0,101800.0,109700.0,81696.1855503475,156100.0,99800.0,119400.0
1998-12-01,111300.0,180200.0,198900.0,145600.0,103500.0,110200.0,82675.6532514412,157100.0,101100.0,121400.0
1999-03-01,113100.0,184800.0,203800.0,147500.0,105400.0,111900.0,83762.3619417057,159500.0,102600.0,123900.0
1999-06-01,114900.0,189600.0,208400.0,149800.0,107700.0,112900.0,85921.4805236787,161500.0,103700.0,126300.0
1999-09-01,116800.0,195100.0,212400.0,152000.0,109600.0,114300.0,88016.2545121491,164700.0,105500.0,129000.0
1999-12-01,118400.0,202500.0,218000.0,155100.0,112900.0,115600.0,89832.2019287754,167400.0,107200.0,131500.0
2000-03-01,120700.0,210600.0,225500.0,158400.0,113800.0,117300.0,90861.7154248155,171400.0,109300.0,134400.0
2000-06-01,122800.0,216400.0,231800.0,161600.0,114800.0,118900.0,92291.5952804267,175700.0,111800.0,136800.0
2000-09-01,124500.0,223500.0,237600.0,164400.0,115500.0,121200.0,93499.8437584182,179300.0,114400.0,139100.0
2000-12-01,126700.0,230500.0,243500.0,168000.0,117700.0,122900.0,94286.2776790043,184000.0,116800.0,141300.0
2001-03-01,128700.0,238300.0,251200.0,171500.0,119100.0,125000.0,97274.7265772318,189700.0,120100.0,143300.0
2001-06-01,130900.0,244400.0,257800.0,174900.0,120400.0,127700.0,98325.6882711061,196400.0,124500.0,145000.0
2001-09-01,132200.0,252600.0,264100.0,177600.0,121300.0,130000.0,99569.6837454878,203600.0,128500.0,146700.0
2001-12-01,134200.0,261800.0,271900.0,181500.0,122800.0,132700.0,100620.645439362,210300.0,132700.0,148300.0
2002-03-01,135200.0,260400.0,281600.0,185500.0,124000.0,136100.0,101135.402187382,218300.0,137600.0,149500.0
2002-06-01,136900.0,270800.0,294400.0,187300.0,124800.0,139400.0,102357.94946393,227600.0,141700.0,150700.0
2002-09-01,139600.0,281700.0,309700.0,191200.0,126200.0,143900.0,103666.289531814,237700.0,147200.0,152000.0
2002-12-01,141900.0,292100.0,326000.0,195700.0,127200.0,148700.0,105153.36458165,248100.0,153100.0,153000.0
2003-03-01,144200.0,304200.0,341100.0,200400.0,128100.0,153300.0,105932.649102958,257600.0,158400.0,154100.0
2003-06-01,147300.0,316700.0,354200.0,207000.0,128500.0,158100.0,106568.945638705,266000.0,163900.0,155300.0
2003-09-01,150200.0,327700.0,371100.0,212200.0,129100.0,163000.0,107212.39157373,275600.0,169600.0,156000.0
2003-12-01,153200.0,338700.0,393500.0,213900.0,129600.0,168500.0,108206.15807338,286800.0,176400.0,157300.0
2004-03-01,157200.0,354600.0,418900.0,216900.0,132500.0,173500.0,109314.314961478,300600.0,184800.0,158700.0
2004-06-01,161100.0,364900.0,453700.0,220100.0,135800.0,179700.0,110393.874252465,318300.0,196200.0,159400.0
2004-09-01,165300.0,376600.0,482600.0,224100.0,137700.0,186600.0,111766.558913852,338900.0,209700.0,160900.0
2004-12-01,169500.0,386700.0,500200.0,224700.0,139000.0,193800.0,112467.200043101,358700.0,224500.0,162400.0
2005-03-01,174200.0,399700.0,517800.0,225900.0,140100.0,200600.0,114326.043855396,377300.0,241600.0,164300.0
2005-06-01,179100.0,411800.0,540800.0,230100.0,140900.0,208200.0,114969.489790421,397500.0,261200.0,165900.0
2005-09-01,183900.0,422300.0,567600.0,234000.0,141800.0,216000.0,116635.299822208,414000.0,280100.0,167400.0
2005-12-01,188200.0,432500.0,587400.0,238500.0,142500.0,222300.0,118465.54603739,424300.0,293700.0,169500.0
2006-03-01,191400.0,439300.0,598000.0,242400.0,143300.0,226000.0,120181.401864124,427300.0,301000.0,170800.0
2006-06-01,193600.0,443500.0,602900.0,243900.0,144500.0,229500.0,122154.636064867,426200.0,305000.0,172400.0
2006-09-01,195000.0,445200.0,603200.0,244900.0,145600.0,230600.0,123891.940089435,421100.0,304500.0,173800.0
2006-12-01,195600.0,443700.0,599000.0,246400.0,146400.0,230000.0,124742.718603523,416600.0,301800.0,174400.0
2007-03-01,196300.0,442200.0,595600.0,247000.0,146600.0,230300.0,126487.172027369,413200.0,297100.0,172700.0
2007-06-01,196100.0,440300.0,587300.0,245500.0,147400.0,230200.0,128403.211033888,409200.0,288400.0,173000.0
2007-09-01,194500.0,434500.0,572100.0,243200.0,148700.0,229800.0,129168.19675664,399700.0,278700.0,172900.0
2007-12-01,191700.0,429800.0,552900.0,240900.0,149400.0,228300.0,130219.158450514,388300.0,267200.0,171600.0
2008-03-01,187500.0,421800.0,525100.0,236300.0,145200.0,225900.0,131777.727493131,370900.0,248700.0,168700.0
2008-06-01,183300.0,412100.0,491500.0,230600.0,141900.0,223500.0,132685.701201444,354700.0,230900.0,164400.0
2008-09-01,180200.0,403100.0,464400.0,224400.0,139900.0,221400.0,133486.433920586,342900.0,213000.0,159600.0
2008-12-01,177900.0,393200.0,445400.0,219900.0,138200.0,218000.0,133479.284521308,331500.0,194900.0,154200.0
2009-03-01,175500.0,385800.0,429500.0,216000.0,136100.0,215800.0,135402.472927105,323800.0,180800.0,151800.0
2009-06-01,172000.0,377500.0,419500.0,209600.0,133900.0,212600.0,134365.810031787,316600.0,168700.0,147700.0
2009-09-01,169200.0,371600.0,417300.0,206400.0,133700.0,211300.0,133722.364096762,313000.0,161800.0,145700.0
2009-12-01,166900.0,370000.0,420100.0,204300.0,134700.0,211800.0,133565.077312645,314700.0,159700.0,144900.0
2010-03-01,164400.0,368900.0,428200.0,200800.0,138600.0,212100.0,132700.0,322700.0,158500.0,145800.0
2010-06-01,162800.0,365900.0,426700.0,197600.0,139900.0,212100.0,131700.0,322200.0,154100.0,144100.0
2010-09-01,160300.0,361200.0,420300.0,192200.0,139000.0,207300.0,130100.0,318800.0,149200.0,139200.0
2010-12-01,157900.0,357300.0,417400.0,186600.0,137400.0,204900.0,128300.0,316100.0,144700.0,134500.0
2011-03-01,156100.0,353200.0,411700.0,183000.0,137100.0,202900.0,130000.0,313100.0,143100.0,128800.0
2011-06-01,154200.0,349500.0,403200.0,176700.0,136200.0,199300.0,129200.0,312400.0,142500.0,125500.0
2011-09-01,152600.0,345700.0,395100.0,171800.0,134700.0,196700.0,127000.0,312200.0,140900.0,122400.0
2011-12-01,151600.0,341400.0,388800.0,168300.0,135000.0,194300.0,125600.0,312100.0,139700.0,120300.0
2012-03-01,152000.0,338200.0,387400.0,165200.0,136300.0,193100.0,127800.0,311800.0,142200.0,119300.0
2012-06-01,152500.0,337900.0,396400.0,166700.0,137500.0,191800.0,127600.0,314400.0,145400.0,119800.0
2012-09-01,153900.0,339900.0,406800.0,167100.0,138500.0,192200.0,127800.0,319200.0,148600.0,121000.0
2012-12-01,155400.0,341700.0,418300.0,166700.0,139400.0,193400.0,127900.0,323600.0,152800.0,122900.0
2013-03-01,157300.0,343200.0,434800.0,167600.0,140900.0,194200.0,131000.0,327900.0,157400.0,124900.0
2013-06-01,160100.0,347600.0,459000.0,172000.0,143800.0,196000.0,133800.0,336800.0,163300.0,128400.0
2013-09-01,163100.0,353400.0,480700.0,176200.0,146900.0,196300.0,136800.0,345200.0,168300.0,133400.0
2013-12-01,165200.0,357300.0,491200.0,179100.0,149500.0,196800.0,139100.0,348600.0,174400.0,137200.0
2014-03-01,167000.0,359900.0,500400.0,181200.0,151000.0,197700.0,143700.0,351800.0,179100.0,139600.0
2014-06-01,168800.0,362800.0,508100.0,182900.0,153300.0,199000.0,145700.0,356100.0,185000.0,142800.0
2014-09-01,170600.0,364600.0,517000.0,186200.0,156300.0,200400.0,148600.0,357200.0,192300.0,145400.0
2014-12-01,172400.0,364900.0,522900.0,187100.0,159200.0,200400.0,151300.0,358900.0,199700.0,147600.0
2015-03-01,174100.0,368000.0,531300.0,188500.0,162100.0,200600.0,156100.0,360800.0,205800.0,150900.0
2015-06-01,176600.0,370900.0,539500.0,191300.0,168300.0,202900.0,158600.0,364300.0,213700.0,154200.0
2015-09-01,179500.0,374800.0,549200.0,193000.0,175200.0,204800.0,162400.0,365800.0,221300.0,158000.0
2015-12-01,181600.0,379300.0,557600.0,194400.0,180800.0,205400.0,165000.0,367700.0,226600.0,161300.0
2016-03-01,183800.0,382100.0,566500.0,195800.0,185300.0,206800.0,169100.0,368600.0,229600.0,164000.0
2016-06-01,186600.0,386600.0,574800.0,198400.0,190900.0,208600.0,171700.0,371200.0,235300.0,166400.0
2016-09-01,190300.0,396500.0,581400.0,201500.0,197500.0,212300.0,175200.0,374300.0,242100.0,169900.0
2016-12-01,194200.0,403400.0,594500.0,205200.0,201600.0,215300.0,175900.0,380200.0,246800.0,173800.0
2017-03-01,197200.0,412600.0,602300.0,209300.0,206000.0,216600.0,174400.0,383700.0,249700.0,176700.0
2017-06-01,200400.0,422300.0,609800.0,211200.0,211000.0,218700.0,178400.0,382600.0,253100.0,179900.0
